 Sheraton Grand Chicago ,"      Streeterville, Chicago, IL ",169,   See all 14 available rooms    ,   See all 14 ,4
 Comfort Suites Michigan Avenue ,"      Chicago Loop, Chicago, IL ",109,   See all 4 available rooms    ,   See all 4 ,4
 Bridgestreet at State and Grand ,"      Near North Side, Chicago, IL ",149,   See all 4 available rooms    ,   See all 4 ,4
 Aloft Chicago City Center ,"      Near North Side, Chicago, IL ",179,   See all 7 available rooms    ,   See all 7 ,7
 Hyatt Centric The Loop Chicago ,"      Chicago Loop, Chicago, IL ",94,   See both available rooms    ,   See both ,2
 Dewitt Hotel and Suites ,"      Chicago, IL ",158,   See all 8 available rooms    ,   See all 8 ,8
 W Chicago - Lakeshore ,"      Chicago, IL ",144,   See all 15 available rooms    ,   See all 15 ,15
 The Palmer House Hilton ,"      Chicago Loop, Chicago, IL ",117,   See all 12 available rooms    ,   See all 12 ,12
 BEST WESTERN PLUS Hawthorne Terrace Hotel ,"      Lakeview, Chicago, IL ",350,   See all 8 available rooms    ,   See all 8 ,8
 The Langham Chicago ,"      Near North Side, Chicago, IL ",161,   See all 12 available rooms    ,   See all 12 ,12
 The Westin Michigan Avenue Chicago ,"      Chicago, IL ",109,   See all 4 available rooms    ,   See all 4 ,4
 Hyatt Place Chicago River North ,"      Near North Side, Chicago, IL ",113,   See all 5 available rooms    ,   See all 5 ,5
 Holiday Inn Chicago Mart Plaza River North ,"      Chicago, IL ",149,   See all 11 available rooms    ,   See all 11 ,11
 Modern Loop Apartments ,"      Chicago Loop, Chicago, IL ",159,   See all 16 available rooms    ,   See all 16 ,16
 Hilton Chicago/Magnificent Mile Suites ,"      Chicago, IL ",118,   See all 11 available rooms    ,   See all 11 ,11
 Hyatt Regency Chicago ,"      Chicago Loop, Chicago, IL ",90,   See all 7 available rooms    ,   See all 7 ,7
 Kimpton Hotel Allegro ,"      Chicago Loop, Chicago, IL ",169,   See all 4 available rooms    ,   See all 4 ,4
 Best Western River North Hotel ,"      Chicago, IL ",89,   See all 8 available rooms    ,   See all 8 ,8
 Chicago Athletic Association ,"      Chicago Loop, Chicago, IL ",74,   See all 13 available rooms    ,   See all 13 ,13
 Congress Plaza Hotel ,"      South Loop, Chicago, IL ",139,   See all 17 available rooms    ,   See all 17 ,17
 Hyatt Regency McCormick Place ,"      South Loop, Chicago, IL ",84,   See all 4 available rooms    ,   See all 4 ,4
 Embassy Suites Chicago Downtown Magnificent Mile ,"      Streeterville, Chicago, IL ",139,   See all 6 available rooms    ,   See all 6 ,16
 Central Loop Hotel ,"      Chicago Loop, Chicago, IL ",109,   See all 9 available rooms    ,   See all 9 ,9
 Wyndham Grand Chicago Riverfront ,"      Chicago Loop, Chicago, IL ",109,   See all 4 available rooms    ,   See all 4 ,4
 Oakwood 200 Squared ,"      Chicago Loop, Chicago, IL ",84,   See all 14 available rooms    ,   See all 14 ,4
 Hilton Garden Inn Chicago Downtown/Magnificent Mile ,"      Near North Side, Chicago, IL ",100.3,   See all 4 available rooms    ,   See all 4 ,4
 Chicago South Loop Hotel ,"      Bronzeville, Chicago, IL ",97.66,   See all 4 available rooms    ,   See all 4 ,4
" Club Quarters Hotel, Central Loop ","      Chicago Loop, Chicago, IL ",95.03,   See all 7 available rooms    ,   See all 7 ,7
 Red Roof Inn Champaign ,"      Champaign, IL ",45, See all 3 available rooms  , See all 3 ,3
 Days Inn Champaign/Urbana ,"      Champaign, IL ",50, See all 7 available rooms  , See all 7 ,7
 Wingate By Wyndham Champaign ,"      Champaign, IL ",99, See all 8 available rooms  , See all 8 ,8
 Drury Inn & Suites Champaign ,"      Champaign, IL ",110, See all 5 available rooms  , See all 5 ,5
